1	1958 6346 15223 17700 1707
2	16657 915 9127 3775 9500 10949 5299
3	8394 11377 6035 5408 18348
4	8723 1564 6158 10743 11230
5	11318 189 138 8461 4365
6	7326 7113 13687 2266 14165 17159 764 269
7	19293 13427 14622 2444 2990 9270 6672 1615
8	19111 4152 8039 9005 16919
9	11467 19413 5288 19659 6311 8272
10	16674 15927 8017 9218 14789 11632 9011 571 552 6818 11522 12254 19324
11	13207 8468 11753 17069 9291 9358 4882
12	17044 9763 1587 2368 551
13	12703 14951 18753 9328 18419
14	13378 7018 7378 16184 2646
15	14547 15232 19122 17749 13568
16	6713 2154 14834 15679 7892 17269 1728
17	19135 5714 7343 12985 10148
18	17654 5712 17684 4895 9411
19	12611 1954 11981 2470 8205 17736
20	4501 3455 17882 4123 13125 14536 5246 16199 7037
21	16860 9233 16049 4442 1000 4234 9049
22	6787 13722 2152 17406 17450 8560
23	16840 7849 2758 17038 296 481 10138 6331 17452 18296
24	4344 17185 15620 17621 1850
25	17865 9953 18316 5778 14149 14161
26	2504 17387 11634 294 8853 5849 1428 3812 5447 339 11705 13219 18943 5848 7029 9295
27	5601 2392 790 8511 8715 9557 5997 3805 19269 3493 2849 11522 6501 13023 14083 13696 14570 9055 18770 6593 5898 7316
28	15509 15709 10654 3044 18961 5719 151 14433 18993
29	7825 13880 2522 99 4630 2473
30	12326 7716 1047 75 13872
31	11209 10540 18481 3050 16805
32	14684 7264 8521 13740 4303 6806 12565
33	18919 16268 17873 8996 8586 2491 5358
34	9427 11042 15165 10025 19484
35	11958 7147 17927 679 9346 19423 12715 13023 5360 8018 17366
36	16245 3985 9305 6539 15576
37	10293 12693 755 14335 19043 14062 12742 7387 6378 18164
38	16631 19201 15816 1763 3555
39	10944 6620 15194 12146 9047 16903 2862 8204 17894 2 2946 12896 14173 14345 5445
40	13544 16058 5817 19733 8262 8093 13294 18573 17037 8636 18505 3889 11758 6883 3847 7436
41	15509 12428 18961 4921 6814 17288
42	3254 4611 7034 6010 5946 3361
43	13788 17138 2145 7794 10515 14467
44	3254 12725 4345 19264 13739 13324 4883
45	18000 18608 16351 389 13649
46	1736 10285 8653 7880 5680 1174
47	14389 5138 5915 13645 4835 12061
48	7309 4960 3639 12506 7127 8408 15760 17233
