36121	9580, 16845, 15199, 9350, 17437, 12846, 675	15816, 17942, 17787, 19115, 17650, 8848, 10066, 18147, 5454, 12598, 9424, 6982, 10240, 646, 12843, 18967, 12566, 6501, 340, 3789
37550	9580, 16221, 10332, 8715, 8964, 2247, 19572, 8217, 14190, 5401	15540, 6598, 18197, 2102, 5785, 9034, 10351, 3885, 13964, 2007, 7615, 195, 3202, 7313, 11989, 15411, 11259, 11042, 10363, 9616
14601	9580, 199, 10894, 14083, 12203, 18435, 16919, 7712, 4896, 18225	5603, 16992, 2789, 2131, 18831, 14032, 18830, 14972, 15604, 10309, 6597, 5003, 19278, 8543, 13690, 2726, 6737, 705, 12160, 17416
15061	9580, 7990, 17277, 12687, 13681, 19282, 10602, 10694	6779, 4780, 1944, 4909, 5560, 10539, 14052, 6625, 2322, 2968, 4203, 1178, 873, 5534, 18152, 9208, 3185, 9331, 13069, 11209
3542	9580, 3159, 10775, 18893, 6715, 19315, 9538, 16128	17351, 8413, 1609, 6896, 4544, 9984, 12208, 6190, 12172, 16608, 2025, 8684, 1461, 6259, 1013, 14458, 1888, 4301, 3764, 3091
47592	14631, 9943, 9647, 6125, 17091, 18021, 3558, 1284, 12699, 17993, 12287, 14434	7227, 8231, 489, 958, 2045, 9388, 17603, 3533, 18498, 9950, 3864, 3693, 13051, 1431, 3410, 2743, 12607, 17466, 12014, 17563
26119	14631, 15968, 2837, 7408, 8051, 19080, 12054	16178, 17243, 19327, 10996, 19292, 6581, 5438, 8009, 16414, 8025, 17735, 13381, 9982, 19702, 18899, 8115, 8493, 7546, 2200, 7720
31970	14631, 9949, 17558, 1918, 13632, 5696, 13730, 2167, 4960, 9181, 12622, 17054, 13003, 7920, 10220, 5922, 17815, 13591, 17441, 1483, 9254, 146, 11247, 1626, 17436, 18535, 6911, 19311, 19146, 3870, 19432, 6439, 6292, 5319, 12073, 9701, 5645	2606, 8520, 15741, 4836, 10045, 5004, 17793, 13447, 12640, 19525, 463, 11729, 9472, 1987, 6399, 1751, 3344, 6519, 5027, 8246
47771	14631, 19198, 4223, 3368, 19350, 15623, 13996	11139, 4726, 14844, 15575, 4829, 4657, 1228, 11544, 2023, 5573, 1277, 1155, 6213, 15336, 4123, 7368, 1531, 19512, 7307, 6374
11254	14631, 7315, 12077, 15983, 12278, 14884, 16729, 17974, 8093, 14, 6051	6527, 1111, 19188, 15978, 14367, 13343, 17850, 13359, 4474, 10187, 8735, 1503, 11247, 1743, 11224, 17448, 11312, 13085, 13996, 5541
25902	7315, 17552, 15591, 14860, 6398, 5215, 16301, 10050, 17302	10407, 17749, 12202, 2436, 4612, 15387, 18062, 17561, 3209, 11692, 13423, 15417, 15874, 6761, 3295, 14145, 1177, 1612, 7831, 4437
48195	14631, 10033, 17099, 7043, 17815, 12645, 4687, 10870, 3870, 7233	13837, 13625, 346, 17425, 2669, 7796, 7135, 3851, 14524, 3464, 5713, 17521, 19562, 18257, 18642, 10709, 15144, 1512, 6349, 13452
9851	7315, 18525, 13093, 15742, 9002, 5525, 6783, 8160, 15841	12795, 4200, 8830, 5592, 17444, 15732, 13475, 5430, 2801, 2483, 10327, 16133, 16596, 411, 7070, 2864, 19571, 13884, 15708, 13269
28036	14631, 7315, 1638, 11984, 11283, 2308, 10042, 7207, 7373	1777, 14049, 3429, 16020, 825, 9599, 14834, 12468, 9485, 8812, 12781, 9130, 3775, 7366, 8765, 16282, 6818, 16914, 7557, 10008
16718	14631, 2167, 7753, 3521, 11514, 18910, 13605	9660, 13076, 277, 2004, 14664, 18923, 19424, 7382, 1679, 5542, 8055, 19665, 18, 14815, 8405, 3180, 1640, 13521, 8605, 12068
14633	14631, 3011, 14196, 16539, 11605, 9439, 18097	471, 5981, 2389, 5137, 2785, 8975, 13473, 12734, 18812, 14671, 5263, 13254, 2294, 19564, 1856, 15694, 2308, 8887, 15304, 193
16055	7315, 15430, 8892, 784, 4943, 19169, 17526	4090, 17104, 15968, 6638, 5143, 17611, 6898, 15213, 1419, 11304, 13916, 3756, 15020, 193, 10049, 18388, 9688, 222, 17404, 704
